[	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	1.2914201584551048e+00	1.3809703357596064e+00	1.7171818064687614e+00	-8.6929024718139902e-01	-1.0532408587338986e+00	-1.6320901458735968e+00	0.0000000000000000e+00	0.0000000000000000e+00	-1.5600000000000001e+00	0.0000000000000000e+00	]
[	1.0000000000000001e-01	6.3122220122942734e-03	6.7293294305360253e-03	8.3139411451165855e-03	1.2479568172489633e-01	1.3283154507670367e-01	1.6355961540091016e-01	1.2044946471957503e+00	1.2756677237185921e+00	1.5540293563834602e+00	-8.6921997800568873e-01	-1.0528113820863960e+00	-1.6309588558324393e+00	2.4848011077176040e-04	4.9696022154352131e-03	-1.5600000000000001e+00	0.0000000000000000e+00	]
[	2.0000000000000001e-01	2.4669413486034377e-02	2.6215473295569017e-02	3.2168536321012575e-02	2.4089984901868283e-01	2.5513903263616045e-01	3.1082028995448452e-01	1.1175967233223767e+00	1.1705297484508381e+00	1.3913094666319317e+00	-8.6873849946179416e-01	-1.0499481232686954e+00	-1.6234389391981197e+00	9.8367490749086970e-04	9.7342937189469764e-03	-1.5464893165962348e+00	1.0468182782789215e-02	]
[	2.9999999999999999e-01	5.4202645391339385e-02	5.7407339670871214e-02	6.9937339476724050e-02	3.4831795432301754e-01	3.6695449579730505e-01	4.4186604126714313e-01	1.0307866374583798e+00	1.0659018040960995e+00	1.2299255530758033e+00	-8.6746321781814206e-01	-1.0426107638260687e+00	-1.6042393319244495e+00	2.1850933189649854e-03	1.4294074510535344e-02	-1.5329786331924697e+00	2.0936365565578419e-02	]
[	4.0000000000000002e-01	9.4043897660522402e-02	9.9259089083168633e-02	1.2000765535603827e-01	4.4706333608212623e-01	4.6835399329674809e-01	5.5689568828343250e-01	9.4416133874740782e-01	9.6231185498239835e-01	1.0712502709332989e+00	-8.6504275640129613e-01	-1.0291882184479417e+00	-1.5692663109256471e+00	3.8322442740017673e-03	1.8648944590200292e-02	-1.5194679497887045e+00	3.1404548348367645e-02	]
[	5.0000000000000000e-01	1.4332702607810541e-01	1.5073537838399242e-01	1.8079416627126249e-01	5.3716073250953600e-01	5.5947372034188170e-01	6.5626378851688305e-01	8.5785135314754546e-01	8.6042751231160575e-01	9.1700578068320127e-01	-8.6115695559595073e-01	-1.0084986349679042e+00	-1.5156234940762914e+00	5.9046367014088741e-03	2.2798903957941864e-02	-1.5059572663849390e+00	4.1872731131156846e-02	]
[	5.9999999999999998e-01	2.0118906493897867e-01	2.1081800109226911e-01	2.5075605392959838e-01	6.1864948318422919e-01	6.4052182713254302e-01	7.4050960187126336e-01	7.7201766172550135e-01	7.6101311084502632e-01	7.6914401396882071e-01	-8.5551687284493050e-01	-9.7978939436368873e-01	-1.4416118402113178e+00	8.3817795299939660e-03	2.6743952613760037e-02	-1.4924465829811737e+00	5.2340913913946040e-02	]
[	7.0000000000000007e-01	2.6677183425764645e-01	2.7851349497250488e-01	3.2841641897116219e-01	6.9158641847621405e-01	7.1178594505123816e-01	8.1037408105223119e-01	6.8684857895079532e-01	6.6488678558898218e-01	6.2972693950195113e-01	-8.4786478264919163e-01	-9.4273711075718825e-01	-1.3467296491260705e+00	1.1243181688564712e-02	3.0484090557654820e-02	-1.4789358995774085e+00	6.2809096696735262e-02	]
[	8.0000000000000004e-01	3.3922382031150028e-01	3.5286128761542007e-01	4.1238280087768864e-01	7.5604843680151679e-01	7.7363642052192172e-01	8.6680488856937887e-01	6.0255663098994439e-01	5.7287754848040040e-01	5.0080682896683637e-01	-8.3797417656782247e-01	-8.9744763141444683e-01	-1.2316725615762210e+00	1.4468352105928763e-02	3.4019317789626205e-02	-1.4654252161736432e+00	7.3277279479524476e-02	]
[	8.9999999999999991e-01	4.1770229830106315e-01	4.3294195078788966e-01	5.0136760091096033e-01	8.1213476970658827e-01	8.2652525653733733e-01	9.1094944032867864e-01	5.1937543400065100e-01	4.8578236507239470e-01	3.8430652292413248e-01	-8.2564976321804118e-01	-8.4445603674566705e-01	-1.0983335592778589e+00	1.8036799710893774e-02	3.7349634309674168e-02	-1.4519145327698781e+00	8.3745462262313664e-02	]
[	1.0000000000000000e+00	5.0137566591014493e-01	5.1788513431904615e-01	5.9420721074000149e-01	8.5996893478213432e-01	8.7098076185491613e-01	9.4413597581532016e-01	4.3755657242598905e-01	4.0432323121985098e-01	2.8189969671486909e-01	-8.1072746827519782e-01	-7.8472664030520389e-01	-9.4980296490740890e-01	2.1928033432267433e-02	4.0475040117798754e-02	-1.4384038493661127e+00	9.4213645045102878e-02	]
